,log2,mRNA_RSEM,mRNA_Diploid,mRNA_Normal,mRNA_all
7038,0.014,2481.27,0.3317,-0.81707,0.5044
7039,-0.23,3144.1,1.04,1.04511,0.8763
7040,-0.029,2421.6,0.268,0.08847000000000002,0.4662
7041,-0.132,5445.27,3.4987,3.7650999999999994,1.7391
7042,0.0,1730.77,-0.4702,-1.9055000000000004,-0.0613
7043,0.002,1332.41,-0.8958,-2.8448700000000002,-0.472
7044,-0.081,2752.49,0.6215,0.77537,0.6674
7045,0.041,2670.74,0.5342,-0.33920000000000006,0.62
7046,-0.13,4279.19,2.2528,2.63752,1.3605
7047,-0.01,2038.18,-0.1417,-0.73233,0.1955
7048,-0.233,834.943,-1.4274,-4.00868,-1.2057
7049,0.0,2764.91,0.6348,0.35678000000000004,0.6745
7050,-0.064,3057.89,0.9479,0.6322500000000001,0.8327
7051,-0.013,3031.22,0.9194,0.79484,0.8189
7052,-0.182,3055.26,0.945,0.71698,0.8313
7053,0.0,3096.06,0.9886,0.62867,0.8521
7054,-0.117,837.057,-1.4251,-3.47761,-1.2017
7055,-0.179,1773.67,-0.4243,-1.76051,-0.0228
7056,-0.213,2924.29,0.8051,0.14403,0.7625
7057,-0.018,2727.48,0.5948,0.03777000000000004,0.653
7058,-0.022,2426.32,0.273,-0.33288,0.4693
7059,-0.031,1892.85,-0.297,-1.03097,0.0793
7060,0.122,2243.96,0.0782,-0.77233,0.3466
7061,-0.188,3620.91,1.5494,0.90005,1.0981
7062,-0.002,3470.81,1.3891,0.6681100000000001,1.0316
7063,-0.068,3026.77,0.9146,0.39008,0.8166
7064,0.01,2777.94,0.6487,0.11023999999999998,0.6818
7065,-0.028,2499.1,0.3508,-0.20265,0.5157
7066,0.381,2191.39,0.022,-0.13029000000000002,0.3093
7067,0.003,4665.59,2.6657,2.57963,1.4963
7068,-0.012,2146.97,-0.5586,-0.0967,-0.2807
7069,-0.003,3440.43,0.7276,2.7763,0.8971
7070,-0.004,1839.74,-0.8641,-1.0375,-0.6664
7071,0.025,2377.53,-0.3293,0.5247,-0.0259
7072,-0.085,3115.04,0.404,2.1709,0.6489
7073,-0.059,2613.02,-0.0952,1.1002,0.21
7074,0.34,2313.14,-0.3934,0.3575,-0.0945
7075,0.031,3561.87,0.8483,2.9876,0.9837
7076,0.102,4842.81,2.122,4.8596,1.7512
7077,-0.052,4046.32,1.33,3.7647,1.3023
7078,0.098,4356.86,1.6388,4.2153,1.487
7079,-0.125,2187.41,-0.5184,0.017,-0.2341
7080,0.032,2504.86,-0.2027,0.8426,0.1044
7081,0.012,1634.44,-1.0682,-1.7583,-0.9619
7082,0.049,1950.78,-0.7537,-0.6805,-0.52
7083,0.134,3066.94,0.3562,2.0761,0.61
7084,0.0,2883.85,0.1741,1.701,0.4563
7085,-0.273,3373.56,0.6611,2.6567,0.8481
7086,-0.037,2206.06,-0.4998,0.0687,-0.2129
7087,0.017,3243.16,1.1058,1.1146,1.0887
7088,0.006,3791.88,1.8636,1.9754,1.6216
7089,-0.025,3557.47,1.5399,1.624,1.4041
7090,0.007,3776.06,1.8418,1.9524,1.6073
7091,-0.003,3941.59,2.0704,2.1887,1.7536
7092,-0.02,3308.38,1.1959,1.2243,1.1566
7093,-0.027,2424.17,-0.0254,-0.4881,0.0966
7094,0.02,2655.11,0.2936,0.0129,0.4067
7095,0.001,2451.07,0.0118,-0.4274,0.1342
7096,-0.043,3073.74,0.8718,0.8192,0.9058
7097,0.073,3106.43,0.9169,0.8774,0.9419
7098,-0.007,3994.87,2.144,2.2626,1.7994
7099,-0.141,5024.42,3.566,3.5255,2.5811
7100,0.0,4429.15,2.7438,2.831,2.1512
7101,0.015,2495.83,0.0736,-0.3277,0.1959
7102,-0.011,3916.23,2.0354,2.1531,1.7316
7103,-0.03,3214.83,1.0666,1.0663,1.0588
7104,-0.008,3010.76,0.7848,0.7051,0.8352
7105,0.012,3025.41,0.805,0.7319,0.8518
7106,0.032,3385.69,1.3026,1.3515,1.2353
7107,-0.032,4940.27,3.4498,3.4324,2.5235
7108,-0.026,3002.2,0.773,0.6895,0.8255
7109,-0.004,3154.89,0.9839,0.9626,0.9947
7110,-0.009,2397.25,-0.0626,-0.5496,0.0585
7111,-0.044,2050.46,-0.5415,-1.41,-0.4741
7112,-0.017,3853.14,1.9483,2.0637,1.6762
7113,-0.048,5106.7,3.6796,3.6149,2.6365
7114,-0.033,4156.94,2.3678,2.4816,1.935
7115,0.024,4760.45,3.2014,3.2282,2.3971
7116,-0.008,4683.52,3.0951,3.1385,2.3416
7117,-0.022,3229.82,1.0873,1.0919,1.0747
